name,host,type,x,y,z,t,log10lum
SN1987A,LMC,II Pec,0.006150510078009513,-0.03596901145159259,-0.02274645996579477,1987.2323768846056,8.416
SN2011fe,NGC 5457,Ia,-0.3713294062968781,1.7494417228538233,3.078176104506929,2011.7323768846056,9.208000000000002
SN2003dh,A104450+2131,Ic BL,-326.96743896533036,-246.266480714296,729.4246083270348,2003.3348756981711,12.625200000000001
CSS141118:092034+504148,SDSS J092034.44+504148.7,II P,-109.69607971616816,24.550655629801984,108.45494642039588,2016.3935676997773,9.616
SN1993J,NGC 3031,IIb,-1.7304150685602322,1.3446747559456216,1.8993455428705612,1993.3266619209287,8.856
SN2012fr,NGC 1365,Ia,-7.38102817886547,-11.781601498995457,-19.56308485749785,2012.9072573285146,9.975999999999999
SN2002ap,NGC 628,Ic BL,-4.885379975000932,4.317970141012226,-6.693589384716303,2002.1627331800094,9.02
SN2013dy,NGC 7250,Ia,-1.164369639679802,16.74289093509708,-4.041165113879399,2013.610712590808,9.248400000000002
SN2009ip,NGC 7259,IIn,13.315638678495993,5.0854728481693945,-22.252307936352874,2012.6490435512721,9.933600000000002
SN2011dh,NGC 5194,IIb,-0.6745343129103829,2.5647374095356557,6.756481656219814,2011.5027379257474,9.156800000000002
SN2013ej,NGC 628,II-P/L,-5.0162852048138635,4.412897995462439,-6.851869381826328,2013.6517814770195,9.248
SN2012dn,ESO 462-G16,Ia,37.43684958764813,9.931793931227626,-23.753450749510876,2012.6052367393129,9.738399999999999
SN2012aw,NGC 3351,II P,-3.7504461515758503,-5.159256053891575,9.577435963477544,2012.2938068119593,9.232800000000001
SN1999ee,IC 5179,Ia,22.821489328852284,2.602232895392042,-33.961861091100715,1999.8524988135655,9.336000000000002
SN2000cx,NGC 524,Ia Pec,-12.370417972903411,11.736644487815353,-22.208645508952188,2000.62987807104,9.616
SN2014J,NGC 3034,Ia,-1.7807556685765107,1.4201768381513726,1.9493616896848562,2014.1408297740297,9.256
SN1999em,NGC 1637,II P,-6.282170303028989,-2.232181320711433,-3.8524930675093505,1999.9127331800094,8.536000000000001
SN2005cf,MCG -01-39-03,Ia,19.1154909529866,-1.7356627520091563,16.018285814580018,2005.4933285875954,9.376
SN1998bu,NGC 3368,Ia,-3.1361666628874403,-4.382549663891178,8.304680433714521,1998.4413079983938,9.296000000000001
ASASSN-14ha,NGC 1566,II,-1.6059824407474215,-16.117236383789077,-15.311924527931701,2014.7773792574746,9.698
SN2007af,NGC 5584,Ia,10.568424793924068,-2.8136298826380113,15.536791311551347,2007.2527379257474,9.216
SN2010jl,UGC 5189A,IIn,-25.493513445195592,-25.80208570391251,32.94439475157473,2010.9248804439092,11.016
SN2015bn,SDSS J113341.53+004333.2,Ic,-28.139375283510965,-290.01468981014364,460.3687480194327,2015.2077355528786,11.045600000000002
PTF12hsx,SDSS J005503.33+421954.0,II,-44.257922389372524,66.49796102215493,-29.9223576222236,2012.7049976271312,8.776
SN2016bkv,NGC 3184,II,-5.020387298677809,0.14666563629427043,7.347394134140685,2016.3074964406965,8.296000000000001
SN2015F,NGC 2442,Ia,4.37131765126801,-21.935252528967297,-8.812370763996846,2015.274641331727,9.416
SN2016bln,NGC 5221,Ia-91T,28.693281630165227,-9.113921813437265,100.43587117892977,2016.344285036323,9.80716
SN2009dc,UGC 10064,Ia Pec,46.83057675094572,41.34939598737956,74.30258615050127,2009.3579746650603,10.0488
SN2016dxj,nan,Ia,261.1872502157633,231.1822404144835,276.33492729234973,2016.3771401452925,10.856000000000002
SN2005bf,MCG +00-27-05,Ib,-23.596176311703193,-57.14181851915663,58.20401339968564,2005.3470229620705,9.601759999999999
SN2004eo,NGC 6928,Ia,30.186438486084555,41.80501038734101,-16.034962988424503,2004.7965447377067,9.296000000000001
SN2002bo,NGC 3190,Ia,-10.81093366294712,-7.032351536686223,18.314741199367877,2002.274641331727,9.356
SN2004et,NGC 6946,II,-0.4598516774032409,4.581009225148698,0.9449290523060213,2004.8239239951813,9.096000000000002
SN2007gr,NGC 1058,Ic,-7.808251191650638,5.188116655245388,-3.480611857080845,2007.7077355528786,9.096000000000002
SN2018bac,nan,Ia,-72.00469855098078,-37.92585058354595,148.45687334743695,2018.385353922535,9.52
SN2019mh,SDSS J120236.32+043259.7,II,2.21748490094237,-36.23457672033616,76.43068941087843,2019.1079746650603,9.26276
SN1991T,NGC 4527,Ia-91T,2.0324878374169875,-4.880655839831602,11.437140891143628,1991.36892636805,9.724000000000002
SN2014cx,NGC 337,II P,-5.176515805651296,6.369492720724198,-22.978103633556966,2014.755475851495,9.428
SN2016coi,UGC 11868,Ic BL,3.588458965444934,13.778249813035773,-7.68814381648116,2016.490590661848,8.9324
SN2016X,UGC 8041,II P,5.109039192763524,-7.287273662684394,17.433726999467225,2016.1380918482823,9.429599999999999
SN2012ht,NGC 3447,Ia,-5.1962148887122295,-5.680988755813751,13.790437033924746,2013.0492826634543,9.127600000000001
SN2006jc,UGC 4904,Ibn,-17.178235320208906,0.10320447207051181,16.75999940693531,2006.8579746650603,9.456000000000001
SN2005ke,NGC 1371,Ia Pec,-12.532894659031665,-10.14032903819667,-21.65872291855457,2005.9522597013836,9.176
SN2006X,NGC 4321,Ia,0.07287462134389382,-3.629697316218034,15.58268226853784,2006.1776183696566,9.296000000000001
iPTF13bvn,NGC 5806,Ib,12.765264492310548,-0.2052915664540773,15.316966991349771,2013.5438068119593,8.591999999999999
SN2013ab,NGC 5669,II P,11.615844739143254,0.3915139849759863,20.585637415336116,2013.2132114043734,9.308000000000002
